item,path,database_table,metadata_differences
Mindsponge,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\Mindsponge.md,Held_Items,
Mirror-Ball Snare,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\mirror-ball-snare.md,Snares,"source: vault='thegrandbazaar', db='grandbazaar'; traits: vault='consumable, mechanical, snare, trap, visual', db='Consumable, Mechanical, Snare, Trap, Uncommon, Visual'"
Mirror Goggles (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\mirror-goggles-(greater).md,Worn_Items,"traits: vault='invested, magical', db='Abjuration, Invested, Magical'"
Mirror Goggles (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\mirror-goggles-(moderate).md,Worn_Items,"traits: vault='invested, magical', db='Abjuration, Invested, Magical'"
Mirror Goggles (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\mirror-goggles-lesser.md,Worn_Items,"traits: vault='invested, magical', db='Abjuration, Invested, Magical'"
Mirror of Sleeping Vigil,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\mirror-of-sleeping-vigil.md,Worn_Items,"source: vault='thegrandbazaar', db='grandbazaar'; traits: vault='illusion, invested, magical, sleep', db='Illusion, Invested, Magical, Sleep, Uncommon'"
Mirror Robe,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\mirror-robe.md,Worn_Items,"source: vault='thegrandbazaar', db='grandbazaar'; traits: vault='illusion, invested, magical', db='Illusion, Invested, Magical, Uncommon'"
Mirror,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\Mirror.md,Mundane,
Misdirecting Haversack,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\misdirecting-haversack.md,Held_Items,"source: vault='thegrandbazaar', db='grandbazaar'; traits: vault='illusion, magical', db='Illusion, Magical, Uncommon'"
Misleading,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\Misleading.md,Runes,
Missive Mint,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\missive-mint.md,Alchemical_Items,
Mistform Elixir (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\mistform-elixir-(greater).md,Alchemical_Items,"source: vault='gmcore', db='playercore2'"
Mistform Elixir (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\mistform-elixir-(lesser).md,Alchemical_Items,"source: vault='gmcore', db='playercore2'"
Mistform Elixir (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\mistform-elixir-(moderate).md,Alchemical_Items,"source: vault='gmcore', db='playercore2'"
Mistranslator's Draft,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\mistranslators-draft.md,Cursed,"traits: vault='consumable, cursed, magical, potion', db='Consumable, Cursed, Divination, Magical, Potion'"
Miter of Communion,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\miter-of-communion.md,Worn_Items,"traits: vault='invested, magical', db='Divination, Invested, Magical, Uncommon'"
Mnemonic Acid,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\mnemonic-acid.md,Alchemical_Items,"traits: vault='alchemical, consumable, elixir', db='Alchemical, Consumable, Elixir, Uncommon'"
Monkey Pin,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\monkey-pin.md,Consumables,"source: vault='gmcore', db='corerulebook'; traits: vault='consumable, magical, talisman', db='Consumable, Magical, Talisman, Transmutation'"
Monkey's Fist,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\monkeys-fist.md,Weapon_Basic,"traits: vault='finesse, monk, nonlethal, common', db='Finesse, Monk, Nonlethal'"
Monkey's Paw,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\monkeys-paw.md,Cursed,"source: vault='gmcore', db='gamemasteryguide'; traits: vault='cursed, magical, misfortune, rare', db='Rare, Cursed, Magical, Misfortune, Necromancy'"
Moon Blossom Tea,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\moon-blossom-tea.md,Consumables,"traits: vault='consumable, magical, potion, tea', db='Consumable, Divination, Magical, Potion, Tea, Uncommon'"
Moon Radish Soup,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\moon-radish-soup.md,Alchemical_Items,"source: vault='kingmaker', db='kingmakeradventurepath'; traits: vault='alchemical, consumable, healing, mental', db='Alchemical, Consumable, Healing, Mental, Uncommon'"
Moonlit Chain,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\moonlit-chain.md,Specific_Magic_Armor,"source: vault='gmcore', db='corerulebook'; traits: vault='flexible, invested, magical, noisy', db='Divination, Invested, Magical'"
Moonlit Ink,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\moonlit-ink.md,Alchemical_Items,"traits: vault='alchemical, consumable', db='Alchemical, Consumable, Uncommon'"
Moonlit Spellgun (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\moonlit-spellgun-(greater).md,Consumables,"traits: vault='attack, consumable, fire, light, magical, spellgun', db='Attack, Consumable, Evocation, Fire, Light, Magical, Spellgun'"
Moonlit Spellgun (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\moonlit-spellgun-(lesser).md,Consumables,"traits: vault='attack, consumable, fire, light, magical, spellgun', db='Attack, Consumable, Evocation, Fire, Light, Magical, Spellgun'"
Moonlit Spellgun (Major),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\moonlit-spellgun-(major).md,Consumables,"traits: vault='attack, consumable, fire, light, magical, spellgun', db='Attack, Consumable, Evocation, Fire, Light, Magical, Spellgun'"
Moonlit Spellgun (Minor),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\moonlit-spellgun-(minor).md,Consumables,"traits: vault='attack, consumable, fire, light, magical, spellgun', db='Attack, Consumable, Evocation, Fire, Light, Magical, Spellgun'"
Moonlit Spellgun (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\moonlit-spellgun-(moderate).md,Consumables,"traits: vault='attack, consumable, fire, light, magical, spellgun', db='Attack, Consumable, Evocation, Fire, Light, Magical, Spellgun'"
Moonsilver Necklace,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\moonsilver-necklace.md,Worn_Items,"traits: vault='magical', db='Invested, Magical, Transmutation, Uncommon'"
Moonstone Diadem,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\moonstone-diadem.md,Worn_Items,"traits: vault='invested, magical', db='Divination, Invested, Magical, Rare'"
Morningstar,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\Morningstar.md,Weapon_Basic,
Mortal Chronicle,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\mortal-chronicle.md,Tattoos,"traits: vault='invested, magical, tattoo, common', db='Invested, Magical, Tattoo, Transmutation'"
Mortalis Coin,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\mortalis-coin.md,Consumables,"traits: vault='consumable, magical, talisman', db='Auditory, Consumable, Emotion, Enchantment, Linguistic, Magical, Talisman, Visual'"
Mortar of Hidden Meaning,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\mortar-of-hidden-meaning.md,Held_Items,"traits: vault='magical', db='Divination, Magical'"
Mother Maw,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\mother-maw.md,Cursed,"source: vault='treasurevault', db='treasurevalut'; traits: vault='cursed, extradimensional, magical', db='Rare, Conjuration, Cursed, Extradimensional, Magical'"
Mountain to the Sky,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\mountain-to-the-sky.md,C_C_Structure,"traits: vault='magical, structure', db='Conjuration, Magical, Structure, Unique'"
Mourner's Dawnlight Fulu,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\mourners-dawnlight-fulu.md,Consumables,"traits: vault='consumable, fulu, magical', db='Consumable, Divination, Fulu, Magical, Uncommon'"
Mud Bomb (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\mud-bomb-(greater).md,Alchemical_Items,"traits: vault='alchemical, bomb, consumable, earth, splash', db='Alchemical, Bomb, Consumable, Earth, Splash, Uncommon'"
Mud Bomb (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\mud-bomb-(lesser).md,Alchemical_Items,"traits: vault='alchemical, bomb, consumable, earth, splash', db='Alchemical, Bomb, Consumable, Earth, Splash, Uncommon'"
Mud Bomb (Major),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\mud-bomb-(major).md,Alchemical_Items,"traits: vault='alchemical, bomb, consumable, earth, splash', db='Alchemical, Bomb, Consumable, Earth, Splash, Uncommon'"
Mud Bomb (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\mud-bomb-(moderate).md,Alchemical_Items,"traits: vault='alchemical, bomb, consumable, earth, splash', db='Alchemical, Bomb, Consumable, Earth, Splash, Uncommon'"
Mudlily,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\Mudlily.md,Worn_Items,
Mudrock Snare,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\mudrock-snare.md,Snares,"traits: vault='consumable, kobold, mechanical, snare, trap', db='Consumable, Kobold, Mechanical, Snare, Trap, Uncommon'"
Mug,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\Mug.md,Mundane,
Mukradi Jar,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\mukradi-jar.md,Alchemical_Items,
Mummified Bat,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\mummified-bat.md,Consumables,"source: vault='gmcore', db='corerulebook'; traits: vault='consumable, magical, talisman', db='Consumable, Divination, Magical, Talisman'"
Murderer's Knot,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\murderers-knot.md,Consumables,"source: vault='gmcore', db='corerulebook'; traits: vault='consumable, magical, talisman', db='Consumable, Evocation, Magical, Talisman'"
Mustard Powder,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\mustard-powder.md,Alchemical_Items,
Mutagenic Renovator,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\mutagenic-renovator.md,Consumables,"traits: vault='consumable, magical, potion', db='Abjuration, Consumable, Magical, Potion, Uncommon'"
Mycoweave Shield (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\mycoweave-shield-(greater).md,Specific_Magic_Shields,
Mycoweave Shield (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\M\mycoweave-shield-(lesser).md,Specific_Magic_Shields,
Naginata,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\Naginata.md,Weapon_Basic,
Nauseating Snare,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\nauseating-snare.md,Snares,
Navaratna of the Solar Ruby,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\navaratna-of-the-solar-ruby.md,Worn_Items,"traits: vault='artifact, divine', db='Artifact, Divine, Unique'"
Navigator's Star,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\navigators-star.md,Tattoos,"traits: vault='invested, magical, tattoo', db='Divination, Invested, Magical, Tattoo'"
Necklace of Fireballs I,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\necklace-of-fireballs-i.md,Worn_Items,"traits: vault='invested, magical', db='Evocation, Invested, Magical'"
Necklace of Fireballs II,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\necklace-of-fireballs-ii.md,Worn_Items,"traits: vault='invested, magical', db='Evocation, Invested, Magical'"
Necklace of Fireballs III,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\necklace-of-fireballs-iii.md,Worn_Items,"traits: vault='invested, magical', db='Evocation, Invested, Magical'"
Necklace of Fireballs IV,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\necklace-of-fireballs-iv.md,Worn_Items,"traits: vault='invested, magical', db='Evocation, Invested, Magical'"
Necklace of Fireballs V,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\necklace-of-fireballs-v.md,Worn_Items,"traits: vault='invested, magical', db='Evocation, Invested, Magical'"
Necklace of Fireballs VI,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\necklace-of-fireballs-vi.md,Worn_Items,"traits: vault='invested, magical', db='Evocation, Invested, Magical'"
Necklace of Fireballs VII,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\necklace-of-fireballs-vii.md,Worn_Items,"traits: vault='invested, magical', db='Evocation, Invested, Magical'"
Necklace of Knives,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\necklace-of-knives.md,Worn_Items,"traits: vault='invested, magical', db='Conjuration, Invested, Magical, Uncommon'"
Necklace of Strangulation,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\necklace-of-strangulation.md,Cursed,"traits: vault='cursed, invested, magical', db='Rare, Cursed, Invested, Magical, Transmutation'"
Necrobinding Serum,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\necrobinding-serum.md,Consumables,"source: vault='adventurecrownofthekoboldking', db='crownofthekoboldking'; traits: vault='consumable, incapacitation, injury, magical', db='Consumable, Incapacitation, Injury, Magical, Necromancy, Rare'"
Necrotic Bomb (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\necrotic-bomb-(greater).md,Alchemical_Items,"traits: vault='alchemical, bomb, consumable, splash, void', db='Alchemical, Bomb, Consumable, Negative, Splash'"
Necrotic Bomb (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\necrotic-bomb-(lesser).md,Alchemical_Items,"traits: vault='alchemical, bomb, consumable, splash, void', db='Alchemical, Bomb, Consumable, Negative, Splash'"
Necrotic Bomb (Major),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\necrotic-bomb-(major).md,Alchemical_Items,"traits: vault='alchemical, bomb, consumable, splash, void', db='Alchemical, Bomb, Consumable, Negative, Splash'"
Necrotic Bomb (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\necrotic-bomb-(moderate).md,Alchemical_Items,"traits: vault='alchemical, bomb, consumable, splash, void', db='Alchemical, Bomb, Consumable, Negative, Splash'"
Nectar of Purification,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\nectar-of-purification.md,Consumables,"source: vault='gmcore', db='corerulebook'; traits: vault='consumable, magical, oil', db='Consumable, Magical, Necromancy, Oil'"
Nemesis Name,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\nemesis-name.md,Tattoos,"traits: vault='invested, magical, tattoo', db='Enchantment, Invested, Magical, Tattoo'"
Neophyte's Fipple,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\neophytes-fipple.md,Consumables,
Net,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\Net.md,Mundane,
Nethershade,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\Nethershade.md,Alchemical_Items,
Nethysian Bulwark,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\nethysian-bulwark.md,Specific_Magic_Shields,"traits: vault='magical', db='Abjuration, Evocation, Magical, Uncommon'"
Nettleweed Residue,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\nettleweed-residue.md,Alchemical_Items,
Nevercold (Compressed),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\nevercold-(compressed).md,Consumables,
Nevercold (Refined),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\nevercold-(refined).md,Consumables,
Nevercold,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\Nevercold.md,Consumables,
Nexian Sealing Blade (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\nexian-sealing-blade-(greater).md,Specific_Magic_Weapons,"traits: vault='arcane, magical, versatile-p, rare', db='Arcane, Evocation, Magical, Rare'"
Nexian Sealing Blade,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\nexian-sealing-blade.md,Specific_Magic_Weapons,"traits: vault='arcane, magical, versatile-p, rare', db='Arcane, Evocation, Magical, Rare'"
Nightbreeze Machine,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\nightbreeze-machine.md,Mundane,"level: vault='5', db='5.0'"
Nightmare Cudgel,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\nightmare-cudgel.md,Specific_Magic_Weapons,"traits: vault='invested, magical, thrown-10', db='Invested, Magical'"
Nightmare Salt,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\nightmare-salt.md,Alchemical_Items,"source: vault='149againstthescarlettriad', db='treasurevault'; traits: vault='alchemical, consumable, ingested, poison', db='Alchemical, Consumable, Ingested, Poison, Rare'"
Nightmare Vapor,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\nightmare-vapor.md,Alchemical_Items,
Nightmare,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\Nightmare.md,Runes,
Nightpitch,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\Nightpitch.md,Consumables,
Nightstick,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\Nightstick.md,Weapon_Basic,
Nimbus Breath,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\nimbus-breath.md,Consumables,
Niyaháat,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\Niyaháat.md,Armor_Basic,
Nodachi,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\Nodachi.md,Weapon_Basic,
Noisemaker Snare,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\noisemaker-snare.md,Snares,"traits: vault='clockwork, consumable, fire, mechanical, snare, trap', db='Clockwork, Consumable, Fire, Mechanical, Snare, Trap, Uncommon'"
Noppera-Bo Hood,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\noppera-bo-hood.md,Worn_Items,"traits: vault='illusion, invested, magical', db='Illusion, Invested, Magical, Rare'"
Noqual Chunk,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\Noqual Chunk.md,Materials,
Noqual Ingot,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\Noqual Ingot.md,Materials,
North Wind's Night Verse,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\north-winds-night-verse.md,Specific_Magic_Weapons,"traits: vault='cold, deadly-d8, magical, two-hand-d10, versatile-p', db='Cold, Evocation, Magical'"
Nosoi Charm (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\nosoi-charm-(greater).md,Held_Items,"source: vault='adventurenightofthegraydeath', db='nightofthegraydeath'; traits: vault='invested, magical', db='Divination, Invested, Magical, Rare'"
Nosoi Charm,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\nosoi-charm.md,Held_Items,"source: vault='adventurenightofthegraydeath', db='nightofthegraydeath'; traits: vault='invested, magical', db='Divination, Invested, Magical, Rare'"
Noxious Incense (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\noxious-incense-(greater).md,Consumables,
Noxious Incense,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\noxious-incense.md,Consumables,
Noxious Jerkin,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\noxious-jerkin.md,Specific_Magic_Armor,"traits: vault='comfort, invested, magical', db='Evocation, Magical, Rare'"
Numbing Tonic (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\numbing-tonic-(greater).md,Alchemical_Items,
Numbing Tonic (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\numbing-tonic-(lesser).md,Alchemical_Items,
Numbing Tonic (Major),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\numbing-tonic-(major).md,Alchemical_Items,
Numbing Tonic (Minor),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\numbing-tonic-(minor).md,Alchemical_Items,
Numbing Tonic (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\numbing-tonic-(moderate).md,Alchemical_Items,
Numbing Tonic (True),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\numbing-tonic-(true).md,Alchemical_Items,
Numerian Steel Breastplate,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\numerian-steel-breastplate.md,Specific_Magic_Armor,"source: vault='societyscenario124lightningstrikesstarsfall', db='pfsscenario124lightningstrikesstarsfall'; traits: vault='invested, magical', db='Abjuration, Invested, Magical, Rare'"
Nunchaku,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\Nunchaku.md,Weapon_Basic,
Nyctessa's Staff,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\N\nyctessas-staff.md,Staff_Wand,"traits: vault='magical, monk, staff, two-hand-d8', db='Magical, Necromancy, Staff, Unique'"
O-Yoroi,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\O\O-Yoroi.md,Armor_Basic,
Oak Potion,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\O\oak-potion.md,Consumables,
Oathbow,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\O\Oathbow.md,Specific_Magic_Weapons,
Obfuscation Oil,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\O\obfuscation-oil.md,Consumables,"source: vault='gmcore', db='corerulebook'; traits: vault='consumable, magical, oil', db='Consumable, Illusion, Magical, Oil'"
Oblivion Essence,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\O\oblivion-essence.md,Alchemical_Items,"traits: vault='alchemical, consumable, injury, poison', db='Alchemical, Consumable, Injury, Poison, Uncommon'"
Occult Scroll Case of Simplicity,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\O\occult-scroll-case-of-simplicity.md,Held_Items,"traits: vault='invested, magical', db='Invested, Magical, Transmutation, Uncommon'"
Octopus Bottle,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\O\octopus-bottle.md,Alchemical_Items,"traits: vault='alchemical, consumable, expandable', db='Alchemical, Consumable, Expandable, Uncommon'"
Octopus Potion (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\O\octopus-potion-(greater).md,Consumables,
Octopus Potion (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\O\octopus-potion-(lesser).md,Consumables,
Octopus Potion (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\O\octopus-potion-(moderate).md,Consumables,
Ogre Hook,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\O\ogre-hook.md,Weapon_Basic,"source: vault='tianxiacharacterguide', db='bestiary'"
Ogre Spider Filament,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\O\ogre-spider-filament.md,Consumables,
Oil of Animation,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\O\oil-of-animation.md,Consumables,"source: vault='gmcore', db='corerulebook'; traits: vault='consumable, magical, oil', db='Consumable, Magical, Oil, Transmutation, Uncommon'"
Oil of Corpse Restoration,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\O\oil-of-corpse-restoration.md,Consumables,"traits: vault='consumable, magical, oil', db='Consumable, Magical, Necromancy, Oil, Uncommon'"
Oil of Dynamism (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\O\oil-of-dynamism-(greater).md,Consumables,"traits: vault='consumable, magical, oil', db='Consumable, Magical, Oil, Uncommon'"
Oil of Dynamism,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\O\oil-of-dynamism.md,Consumables,"traits: vault='consumable, magical, oil', db='Consumable, Magical, Oil, Uncommon'"
Oil of Keen Edges,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\O\oil-of-keen-edges.md,Consumables,"source: vault='gmcore', db='corerulebook'; traits: vault='consumable, magical, oil', db='Consumable, Magical, Oil, Transmutation, Uncommon'"
Oil of Mending,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\O\oil-of-mending.md,Consumables,"source: vault='gmcore', db='corerulebook'; traits: vault='consumable, magical, oil', db='Consumable, Magical, Oil, Transmutation'"
Oil of Ownership (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\O\oil-of-ownership-(greater).md,Consumables,"traits: vault='consumable, magical, oil, common', db='Consumable, Magical, Oil, Transmutation'"
Oil of Ownership (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\O\oil-of-ownership-(lesser).md,Consumables,"traits: vault='consumable, magical, oil, common', db='Consumable, Magical, Oil, Transmutation'"
Oil of Ownership (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\O\oil-of-ownership-(moderate).md,Consumables,"traits: vault='consumable, magical, oil, common', db='Consumable, Magical, Oil, Transmutation'"
Oil of Potency,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\O\oil-of-potency.md,Consumables,"source: vault='gmcore', db='corerulebook'; traits: vault='consumable, magical, oil', db='Consumable, Magical, Oil, Transmutation'"
Oil of Repulsion,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\O\oil-of-repulsion.md,Consumables,"source: vault='gmcore', db='corerulebook'; traits: vault='consumable, magical, oil', db='Abjuration, Consumable, Magical, Oil'"
Oil of Revelation,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\O\oil-of-revelation.md,Consumables,
Oil of Skating,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\O\oil-of-skating.md,Consumables,"traits: vault='consumable, magical, oil', db='Consumable, Magical, Oil, Transmutation'"
Oil of Swiftness,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\O\oil-of-swiftness.md,Consumables,"traits: vault='consumable, magical, oil', db='Consumable, Magical, Oil, Transmutation, Uncommon'"
Oil of Unlife (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\O\oil-of-unlife-(greater).md,Consumables,"source: vault='gmcore', db='advancedplayersguide'; traits: vault='consumable, magical, oil, void', db='Consumable, Magical, Necromancy, Negative, Oil'"
