Name,ItemLevel,Type,Subtype,Cost,Curse,Traits,Rarity,Bulk,Source,Adventuring,Alchemist,Arcane,Blacksmith,Scribe,Bowyer,General,Jewelry,Leatherworker,Music_Games,Illicit,Tailor,Temple,Armorer,Weaponsmith,Tattooist,Publisher_Source
Foxglove Token (Major),12,,,1750,,"magical, poison, spellheart",uncommon,L,Pathfinder #202: Severed at the Root pg. 78,,,,,,,,,,,,,,,,,Paizo
Foxglove Token,3,,,55,,"magical, poison, spellheart",uncommon,L,Pathfinder #202: Severed at the Root pg. 78,,,,,,,,,,,,,,,,,Paizo
Freedom's Flame,21,,,0,,"artifact, magical, mythic, razing, versatile-p",unique,1,Pathfinder War of Immortals pg. 151,,,,,,,,,,,,,,,,,Paizo
Frog Chair,8,,,475,,"clockwork, magical",uncommon,3,Pathfinder Guns & Gears pg. 91,,,,,,,,,,,,,,,,,Paizo
Frost Fair Yanyuedao,14,,,0,,"artifact, cold, deadly-d8, forceful, magical, reach",Unique,2,Pathfinder Lost Omens Tian Xia Character Guide,,,,,,,,,,,,,,,,,Paizo
Frozen Lava of Barrowsiege,19,,,8000,,"consumable, fire, magical",,,Pathfinder GM Core pg. 268,,,,,,,,,,,,,,,,,Paizo
Frozen Lava of Blackpeak,7,,,70,,"consumable, fire, magical",,,Pathfinder GM Core pg. 268,,,,,,,,,,,,,,,,,Paizo
Frozen Lava of Droskar's Crag,13,,,600,,"consumable, fire, magical",,,Pathfinder GM Core pg. 268,,,,,,,,,,,,,,,,,Paizo
Frozen Lava of Ka,15,,,1300,,"consumable, fire, magical",,,Pathfinder GM Core pg. 268,,,,,,,,,,,,,,,,,Paizo
Frozen Lava of Mhar Massif,11,,,300,,"consumable, fire, magical",,,Pathfinder GM Core pg. 268,,,,,,,,,,,,,,,,,Paizo
Frozen Lava of Pale Mountain,9,,,150,,"consumable, fire, magical",,,Pathfinder GM Core pg. 268,,,,,,,,,,,,,,,,,Paizo
Frozen Lava of Sakalayo,17,,,3000,,"consumable, fire, magical",,,Pathfinder GM Core pg. 268,,,,,,,,,,,,,,,,,Paizo
Frozen Lava,5,,,30,,"consumable, fire, magical",,,Pathfinder GM Core pg. 268,,,,,,,,,,,,,,,,,Paizo
Fulcrum Lattice,11,,,1200,,occult,unique,2,Pathfinder #165: Eyes of Empty Death pg. 76,,,,,,,,,,,,,,,,,Paizo
Fulmination Fang,4,,,115,,"combination, concussive, kickback, magical",uncommon,2,Pathfinder Howl of the Wild pg. 104,,,,,,,,,,,,,,,,,Paizo
Galvasphere,4,,,20,,consumable,rare,,Pathfinder Guns & Gears pg. 82,,,,,,,,,,,,,,,,,Paizo
Gamtu Hat,5,,,0,,magical,,L,Pathfinder Lost Omens Tian Xia Character Guide,,,,,,,,,,,,,,,,,Paizo
Gasping Lament (Greater),17,,,14500,,"coda, invested, magical, staff",rare,,"Pathfinder #205: Singer, Stalker, Skinsaw Man pg. 85",,,,,,,,,,,,,,,,,Paizo
Gasping Lament,12,,,2000,,"coda, invested, magical, staff",rare,,"Pathfinder #205: Singer, Stalker, Skinsaw Man pg. 85",,,,,,,,,,,,,,,,,Paizo
Gearblade,17,,,13000,,"clockwork, invested, magical",rare,,Pathfinder #161: Belly of the Black Whale pg. 79,,,,,,,,,,,,,,,,,Paizo
Gelid Shard,2,,,0,,"arcane, artifact, cold, invested",rare,,Pathfinder Treasure Vault,,,,,,,,,,,,,,,,,Paizo
Ghost Stone,7,,,0,,magical,Unique,18,Pathfinder #200: Seven Dooms for Sandpoint,,,,,,,,,,,,,,,,,Paizo
Ghosthand's Comet,23,,,0,,"artifact, backstabber, concussive, fatal-d12, kickback, magical",Unique,2,Pathfinder Treasure Vault,,,,,,,,,,,,,,,,,Paizo
Glittering Scarab,1,,,10,,,uncommon,,Pathfinder Dark Archive pg. 82,,,,,,,,,,,,,,,,,Paizo
Glue Bullet,4,,,16,,"alchemical, consumable",uncommon,,Pathfinder Guns & Gears pg. 170,,,,,,,,,,,,,,,,,Paizo
Golden Gloves,19,,,40000,,"apex, holy, invested, magical",rare,L,Pathfinder #206: Bring the House Down pg. 82,,,,,,,,,,,,,,,,,Paizo
Goo Grenade (Greater),11,,,250,,"alchemical, bomb, consumable, splash",uncommon,L,Pathfinder Lost Omens Impossible Lands pg. 306,,,,,,,,,,,,,,,,,Paizo
Goo Grenade (Lesser),1,,,3,,"alchemical, bomb, consumable, splash",uncommon,L,Pathfinder Lost Omens Impossible Lands pg. 306,,,,,,,,,,,,,,,,,Paizo
Goo Grenade (Major),17,,,2500,,"alchemical, bomb, consumable, splash",uncommon,L,Pathfinder Lost Omens Impossible Lands pg. 306,,,,,,,,,,,,,,,,,Paizo
Goo Grenade (Moderate),3,,,10,,"alchemical, bomb, consumable, splash",uncommon,L,Pathfinder Lost Omens Impossible Lands pg. 306,,,,,,,,,,,,,,,,,Paizo
Gorum's Tear,8,,,80,,"consumable, magical, talisman",uncommon,,Pathfinder #209: Destroyer's Doom pg. 83,,,,,,,,,,,,,,,,,Paizo
Gossip's Eye,8,,,30,,magical,,L,Pathfinder Treasure Vault pg. 108,,,,,,,,,,,,,,,,,Paizo
Grappling Arrow,0,,,2,,,uncommon,,Pathfinder Lost Omens Pathfinder Society Guide pg. 115,,,,,,,,,,,,,,,,,Paizo
Grappling Gun (Clockwork),1,,,15,,,Uncommon,1,Pathfinder Guns & Gears pg. 64,,,,,,,,,,,,,,,,,Paizo
Grappling Gun,0,,,3,,,uncommon,,Pathfinder Guns & Gears pg. 64,,,,,,,,,,,,,,,,,Paizo
Gray Prince,8,,,500,,"magical, modular, void",rare,1,Pathfinder Lost Omens Highhelm pg. 59,,,,,,,,,,,,,,,,,Paizo
Graymist,21,,,,,"apex, artifact, divine, intelligent, invested",unique,,Pathfinder #206: Bring the House Down pg. 83,,,,,,,,,,,,,,,,,Paizo
Grim Trophy (Greater),11,,,250,,"consumable, magical, talisman",,,Pathfinder GM Core pg. 265,,,,,,,,,,,,,,,,,Paizo
Grisantian Pelt,12+,,,,,precious,rare,,Pathfinder Monsters of Myth pg. 35,,,,,,,,,,,,,,,,,Paizo
Grolna,1,,,3,,"alchemical, consumable, drug, ingested, poison",uncommon,,Pathfinder #157: Devil at the Dreaming Palace pg. 81,,,,,,,,,,,,,,,,,Paizo
Growth Gun,9,,,700,,"magical, modular",uncommon,1,Pathfinder Guns & Gears pg. 155,,,,,,,,,,,,,,,,,Paizo
Guide Harness,1,,,5,,companion,,1,Pathfinder Treasure Vault pg. 105,,,,,,,,,,,,,,,,,Paizo
Guiding Star Orb (Heroic),20,,,0,,"apex, artifact, intelligent, invested, magical",unique,L,Pathfinder #212: A Voice in the Blight pg. 73,,,,,,,,,,,,,,,,,Paizo
Guiding Star Orb,15,,,6500,,magical,unique,L,Pathfinder #211: The Secret of Deathstalk Tower pg. 81,,,,,,,,,,,,,,,,,Paizo
Gunner's Bandolier,3,,,60,,"invested, magical",uncommon,,Pathfinder Guns & Gears pg. 179,,,,,,,,,,,,,,,,,Paizo
Gunner's Saddle,2,,,20,,,uncommon,2,Pathfinder Guns & Gears pg. 182,,,,,,,,,,,,,,,,,Paizo
Gut-Ripper,7,,,0,,"magical, mythic, trip, deadly d10",unique,,Pathfinder War of Immortals pg. 171,,,,,,,,,,,,,,,,,Paizo
Gyroscopic Stabilizer,4,,,115,,magical,uncommon,L,Pathfinder #179: Cradle of Quartz pg. 77,,,,,,,,,,,,,,,,,Paizo
Halcyon Heart,21,,,0,,"artifact, magical",rare,1,Pathfinder #174: Shadows of the Ancients pg. 77,,,,,,,,,,,,,,,,,Paizo
Hallajin Key,7,,,0,,"intelligent, magical",unique,L,Pathfinder Society Scenario #4-11: Prisoners of the Electric Castle,,,,,,,,,,,,,,,,,Paizo
Hand-Hewed Face,7,,,0,,"contract, invested, magical",rare,,Pathfinder Dark Archive pg. 164,,,,,,,,,,,,,,,,,Paizo
Heart Bloodstone of Arazni,11,,,0,,"artifact, divine",unique,1,Pathfinder Claws of the Tyrant pg. 109,,,,,,,,,,,,,,,,,Paizo
Heartmoss (Greater),8,,,450,,"healing, magical, spellheart",uncommon,L,Pathfinder #202: Severed at the Root pg. 79,,,,,,,,,,,,,,,,,Paizo
Heartmoss (Major),12,,,1750,,"healing, magical, spellheart",uncommon,L,Pathfinder #202: Severed at the Root pg. 79,,,,,,,,,,,,,,,,,Paizo
Heartmoss,3,,,55,,"healing, magical, spellheart",uncommon,L,Pathfinder #202: Severed at the Root pg. 79,,,,,,,,,,,,,,,,,Paizo
Herald's Ring,13,,,3000,,"invested, magical",unique,,Pathfinder #204: Stage Fright pg. 80,,,,,,,,,,,,,,,,,Paizo
Hero's Plate (Greater),18,,,22500,,"bulwark, invested, magical",rare,4,Pathfinder #202: Severed at the Root pg. 77,,,,,,,,,,,,,,,,,Paizo
Hero's Plate,10,,,1000,,"bulwark, invested, magical",rare,4,Pathfinder #202: Severed at the Root pg. 77,,,,,,,,,,,,,,,,,Paizo
Hex Blaster,11,,,1400,,"concussive, cursed, emotion, fatal-d12, fear, kickback, mental, occult",unique,2,Pathfinder #180: The Smoking Gun pg. 73,,,,,,,,,,,,,,,,,Paizo
Hidden Pocket Outfit,4,,,75,,,uncommon,L,Pathfinder Lost Omens Rival Academies pg. 56,,,,,,,,,,,,,,,,,Paizo
Hippopotamus Klar,10,,,1000,,"integrated-1d6-s-versatile-p, invested, magical",uncommon,1,Pathfinder Howl of the Wild pg. 100,,,,,,,,,,,,,,,,,Paizo
Hongbao of Many Things,5,,,0,,magical,,L,Pathfinder Blog,,,,,,,,,,,,,,,,,Paizo
Hongrui's Gratitude,3,,,60,,"invested, magical",unique,L,Pathfinder #196: The Summer That Never Was pg. 303,,,,,,,,,,,,,,,,,Paizo
Horn of Exorcism,11,,,1250,,magical,,L,Pathfinder GM Core pg. 274,,,,,,,,,,,,,,,,,Paizo
Horn of Rust,5,,,0,,"artifact, invested, magical",,L,Pathfinder Adventure: Rusthenge pg. unique,,,,,,,,,,,,,,,,,Paizo
Horned Hand Rests (Greater),13,,,2750,,"companion, invested, magical",,1,Pathfinder Lost Omens The Grand Bazaar pg. 72,,,,,,,,,,,,,,,,,Paizo
Horned Hand Rests,6,,,225,,"companion, invested, magical",,1,Pathfinder Lost Omens The Grand Bazaar pg. 72,,,,,,,,,,,,,,,,,Paizo
Horns of Naraga,26,,,0,,"artifact, invested, magical",unique,2,Pathfinder Gamemastery Guide pg. 109,,,,,,,,,,,,,,,,,Paizo
Howler Pistol,10,,,1100,,"magical, scatter-5",rare,1,Pathfinder Howl of the Wild pg. 104,,,,,,,,,,,,,,,,,Paizo
Humbug Pocket (Greater),17,,,12500,,"invested, occult",,,Pathfinder GM Core pg. 290,,,,,,,,,,,,,,,,,Paizo
Humbug Pocket,9,,,650,,"invested, occult",,,Pathfinder GM Core pg. 290,,,,,,,,,,,,,,,,,Paizo
Hunter's Anthem,11,,,1300,,"deadly-d10, magical, volley-30",,2,Pathfinder GM Core pg. 242,,,,,,,,,,,,,,,,,Paizo
Hunter's Brooch,4,,,80,,"divine, invested, vitality",unique,L,Pathfinder #164: Hands of the Devil pg. 71,,,,,,,,,,,,,,,,,Paizo
Hunter's Dawn,23,,,0,,"arcane, artifact, thrown-10",unique,1,Pathfinder #156: The Apocalypse Prophet pg. 67,,,,,,,,,,,,,,,,,Paizo
Hydrocannon,5,,,150,,"magical, modular",uncommon,,Pathfinder Howl of the Wild pg. 104,,,,,,,,,,,,,,,,,Paizo
Hyldarf's Fang,15,,,0,,"magical, modular",unique,1,Pathfinder Guns & Gears pg. 164,,,,,,,,,,,,,,,,,Paizo
Abominable Missives of the Atrophied,,,,,,,,,,,,,,,,,,,,,,,,,,
Adamantine Golem Engine Core,,,,,,,,,,,,,,,,,,,,,,,,,,
Alchemical Golem Engine Core,,,,,,,,,,,,,,,,,,,,,,,,,,
Alghollthu Eyes,,,,,,,,,,,,,,,,,,,,,,,,,,
Alghollthu Master Tentacles,,,,,,,,,,,,,,,,,,,,,,,,,,
Alghollthu Mucus (Greater),,,,,,,,,,,,,,,,,,,,,,,,,,
Alghollthu Mucus,,,,,,,,,,,,,,,,,,,,,,,,,,
Alghollthu Rawhide,,,,,,,,,,,,,,,,,,,,,,,,,,
Alicorn Dust,,,,,,,,,,,,,,,,,,,,,,,,,,
Alicorn Staff,,,,,,,,,,,,,,,,,,,,,,,,,,
Amulet of Seduction,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancient Copper Dragon Head Spikes,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancient Dragon Fangs (Black or Copper),,,,,,,,,,,,,,,,,,,,,,,,,,
Ancient Dragon Fangs (Blue or Bronze),,,,,,,,,,,,,,,,,,,,,,,,,,
"Ancient Dragon Fangs (Brass, Gold, or Red)",,,,,,,,,,,,,,,,,,,,,,,,,,
Ancient Dragon Fangs (Green),,,,,,,,,,,,,,,,,,,,,,,,,,
Ancient Dragon Fangs (Silver or White),,,,,,,,,,,,,,,,,,,,,,,,,,
Ancient Dragon Head,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel Blood,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal Precision Ammunition,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal Carapace,,,,1,,creature-component,,,Harvest Compendium,,,,,,,,,,,,,,,,,
Animal Hide,,,,5,,creature-component,,,Harvest Compendium pg. 23,,,,,,,,,,,,,,,,,
Ankylosaurus Tail,4,,,30,,creature-component,,,Harvest Compendium,,,,,,,,,,,,,,,,,
Apple,,,,,,,,,,,,,,,,,,,,,,,,,,
Apron (Functions as Leather Armor),,,,,,,,,,,,,,,,,,,,,,,,,,
Apron (Functions as Padded Armor),,,,,,,,,,,,,,,,,,,,,,,,,,
Arboreal Bark Strips,2,,,5,,"consumable, creature-component",,,Harvest Compendium,,,,,,,,,,,,,,,,,
Arboreal Sap,1,,,2,,ingredient,,,Harvest Compendium,,,,,,,,,,,,,,,,,
Archon Core,,,,,,,,,,,,,,,,,,,,,,,,,,
Archon Ichor,,,,,,,,,,,,,,,,,,,,,,,,,,
Assorted Jewelry,,,,,,,,,,,,,,,,,,,,,,,,,,
Astradaemon Hide,,,,,,,,,,,,,,,,,,,,,,,,,,
Astradaemon Tail,,,,,,,,,,,,,,,,,,,,,,,,,,
Astrolabe,,,,,,,,,,,,,,,,,,,,,,,,,,
Astronomer Spellbook,,,,,,,,,,,,,,,,,,,,,,,,,,
Balor Ash,,,,,,,,,,,,,,,,,,,,,,,,,,
Baomal Heads,,,,,,,,,,,,,,,,,,,,,,,,,,
Baomal Shellplates,,,,,,,,,,,,,,,,,,,,,,,,,,
Baomal Teeth,,,,,,,,,,,,,,,,,,,,,,,,,,
Barguest Rawhide,,,,,,,,,,,,,,,,,,,,,,,,,,
Barguest Teeth,,,,,,,,,,,,,,,,,,,,,,,,,,
Basilisk Gullet Oil,4,,,20,,"consumable, magical, oil",uncommon,,Harvest Compendium,,,,,,,,,,,,,,,,,
Basilisk Teeth,2,,,5,,"consumable, magical, talisman",uncommon,,Harvest Compendium,,,,,,,,,,,,,,,,,
Bear Claws,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Crocodile Teeth,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Deinosuchus Teeth,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloodseeker Proboscis,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloody Wemmuth Sap,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloody Talon,1,,,5,,"consumable, magical, talisman",,,Harvest Compendium pg. 142,,,,,,,,,,,,,,,,,
Boar Tusk,3,,,8,,"consumable, magical, talisman",,,Harvest Compendium* pg. 142,,,,,,,,,,,,,,,,,
Bola Bolts,,,,,,,,,,,,,,,,,,,,,,,,,,
Bone Javelin,,,,,,,,,,,,,,,,,,,,,,,,,,
Book of Sigils,,,,,,,,,,,,,,,,,,,,,,,,,,
Book on Law and Rhetoric,,,,,,,,,,,,,,,,,,,,,,,,,,
Boots of Trackless Steps,,,,,,,,,,,,,,,,,,,,,,,,,,
Brain Collector Claw,,,,,,,,,,,,,,,,,,,,,,,,,,
Brain Collector Teeth,,,,,,,,,,,,,,,,,,,,,,,,,,
Brain Collector Venom,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulette Shellplates,8,,,25,,creature-component,,,Harvest Compendium pg. 24,,,,,,,,,,,,,,,,,
Bulette Sole Patches,5,,,15,,ingredient,,,Harvest Compendium pg. 24,,,,,,,,,,,,,,,,,
Bulette Teeth,2,,,1,,creature-component,,,Harvest Compendium pg. 24,,,,,,,,,,,,,,,,,
Bunyip Scent Gland,,,,,,,,,,,,,,,,,,,,,,,,,,
Caligni Dust,,,,,,,,,,,,,,,,,,,,,,,,,,
Carver's Kit,,,,4,,,,,Harvest Compendium,,,,,,,,,,,,,,,,,
Cassisian Helm,,,,,,,,,,,,,,,,,,,,,,,,,,
Cauthooj Beak,,,,,,,,,,,,,,,,,,,,,,,,,,
Cauthooj Feathers,,,,,,,,,,,,,,,,,,,,,,,,,,
Cauthooj Foot Claws,,,,,,,,,,,,,,,,,,,,,,,,,,
Cauthooj Vocal Cords,,,,,,,,,,,,,,,,,,,,,,,,,,
Cave Worm Rawhide,,,,,,,,,,,,,,,,,,,,,,,,,,
Cave Worm Stinger,,,,,,,,,,,,,,,,,,,,,,,,,,
Cave Worm Teeth,,,,,,,,,,,,,,,,,,,,,,,,,,
Celestial Feathers,,,,,,,,,,,,,,,,,,,,,,,,,,
Centaur Tail Hair,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceremonial Robes,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceustodaemon Blood,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceustodaemon Eyes,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceustodaemon Horns,,,,,,,,,,,,,,,,,,,,,,,,,,
Charred Feathers,,,,,,,,,,,,,,,,,,,,,,,,,,
Chimera Claws,,,,,,,,,,,,,,,,,,,,,,,,,,
Chimera Wings,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuul Claw,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuul Tentacles,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinder Smog Cannister,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay Golem Engine Core,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleansed Water,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleansing Potion (Lesser),,,,,,,,,,,,,,,,,,,,,,,,,,
Cleansing Potion (Moderate),,,,,,,,,,,,,,,,,,,,,,,,,,
Cloak of Flexibility,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloak of Flying,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloak of Magic Protection,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloak of Reactive Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloaker Hide,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloaker Vocal Cords,,,,,,,,,,,,,,,,,,,,,,,,,,
Cockatrice Beak Points,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction Schematics,,,,,,,,,,,,,,,,,,,,,,,,,,
Corruption Essence,,,,,,,,,,,,,,,,,,,,,,,,,,
Court Garb,,,,,,,,,,,,,,,,,,,,,,,,,,
Crag Linnorm Hide,,,,,,,,,,,,,,,,,,,,,,,,,,
Creation Oil,,,,,,,,,,,,,,,,,,,,,,,,,,
Creep Vine Armor,3,,,20,,"invested, magical, plant",,,Homebrew,,,,,,,,,,,,,,,,,Homebrew
Creep Vine,,,,5,,"ingredient, plant",,,Homebrew,,,,,,,,,,,,,,,,,Homebrew
Crystalline Dust,,,,,,,,,,,,,,,,,,,,,,,,,,
Cultist Garb,,,,,,,,,,,,,,,,,,,,,,,,,,
Curse-Breaker Claws,,,,,,,,,,,,,,,,,,,,,,,,,,
Cursed Sand,,,,,,,,,,,,,,,,,,,,,,,,,,
Cutlery,,,,,,,,,,,,,,,,,,,,,,,,,,
Daemon Precision Ammunition,,,,,,,,,,,,,,,,,,,,,,,,,,
Daemon Teeth,,,,,,,,,,,,,,,,,,,,,,,,,,
Daeodon Heart,4,,,20,,"consumable, creature-component, edible",,,Harvest Compendium pg. 23,,,,,,,,,,,,,,,,,
Dark Naga Eyes,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Naga Skull,,,,,,,,,,,,,,,,,,,,,,,,,,
Darkness Grenade (Lesser),,,,,,,,,,,,,,,,,,,,,,,,,,
Darkness Grenade (Moderate),,,,,,,,,,,,,,,,,,,,,,,,,,
Deadly Mantis Leg Tips,,,,,,,,,,,,,,,,,,,,,,,,,,
Deinonychus Claw,2,,,5,,"consumable, magical, talisman",uncommon,,Harvest Compendium pg. 40,,,,,,,,,,,,,,,,,
Deinosuchus Teeth,,,,,,,,,,,,,,,,,,,,,,,,,,
Demon Cruor,,,,,,,,,,,,,,,,,,,,,,,,,,
Demonologist Spellbook,,,,,,,,,,,,,,,,,,,,,,,,,,
Devil Heart,,,,,,,,,,,,,,,,,,,,,,,,,,
Devil Hide (Greater),,,,,,,,,,,,,,,,,,,,,,,,,,
Devil Hide,,,,,,,,,,,,,,,,,,,,,,,,,,
Devil's Swill,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhampir Wizard Spellbook,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinosaur Teeth,2,,,1,,creature-component,,,Harvest Compendium pg. 40,,,,,,,,,,,,,,,,,
Displacement Cloak,,,,,,,,,,,,,,,,,,,,,,,,,,
Distilled Daemon Pestilence,,,,,,,,,,,,,,,,,,,,,,,,,,
Distilled Kraken Ink,,,,,,,,,,,,,,,,,,,,,,,,,,
Distilled Otyugh Stench,,,,,,,,,,,,,,,,,,,,,,,,,,
Draconic Ammunition (Black or Copper),,,,,,,,,,,,,,,,,,,,,,,,,,
Draconic Ammunition (Blue or Bronze),,,,,,,,,,,,,,,,,,,,,,,,,,
"Draconic Ammunition (Brass, Gold, or Red)",,,,,,,,,,,,,,,,,,,,,,,,,,
Draconic Ammunition (Green),,,,,,,,,,,,,,,,,,,,,,,,,,
Draconic Ammunition (Silver or White),,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon Blood (Adult),,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon Blood (Wyrm),,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon Blood (Young),,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon Fangs (Black or Copper),,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon Fangs (Blue or Bronze),,,,,,,,,,,,,,,,,,,,,,,,,,
"Dragon Fangs (Brass, Gold, or Red)",,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon Fangs (Green),,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon Fangs (Silver or White),,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon Head Teeth,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon Sole Patches (Green),,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon Teeth (Black or Copper),,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon Teeth (Blue or Bronze),,,,,,,,,,,,,,,,,,,,,,,,,,
"Dragon Teeth (Brass, Gold, or Red)",,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon Teeth (Green),,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon Teeth (Silver or White),,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon Turtle Shellplates,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon Turtle Teeth,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon Wing,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonhide,,,,,,,,,,,,,,,,,,,,,,,,,,
Drakauthix Tendrils,,,,,,,,,,,,,,,,,,,,,,,,,,
Drake Teeth (Acid),,,,,,,,,,,,,,,,,,,,,,,,,,
Drake Teeth (Cold),,,,,,,,,,,,,,,,,,,,,,,,,,
Drake Teeth (Electricity),,,,,,,,,,,,,,,,,,,,,,,,,,
Drake Teeth (Fire),,,,,,,,,,,,,,,,,,,,,,,,,,
Drake Teeth (Poison),,,,,,,,,,,,,,,,,,,,,,,,,,
Drake Hide,5,,,10,,trophy,,,Harvest Compendium pg. 64,,,,,,,,,,,,,,,,,
Drunkard's Outfit,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryad Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,
Dust of Lifeguarding (Greater),,,,,,,,,,,,,,,,,,,,,,,,,,
Dust of Lifeguarding,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagle Feathers,,,,,,,,,,,,,,,,,,,,,,,,,,
Ectoplasm,,,,,,,,,,,,,,,,,,,,,,,,,,
Eel Teeth,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Eel Rawhide,,,,,,,,,,,,,,,,,,,,,,,,,,
Elemental Core,,,,,,,,,,,,,,,,,,,,,,,,,,
Elephant Tusks,,,,,,,,,,,,,,,,,,,,,,,,,,
Empty Scroll Case,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Rune Framework,,,,,,,,,,,,,,,,,,,,,,,,,,
Entangling Vine,3,,,,,"consumable, plant",,,Homebrew,,,,,,,,,,,,,,,,,Homebrew
Evil Ammunition,,,,,,,,,,,,,,,,,,,,,,,,,,
Executioner's Hood,,,,,,,,,,,,,,,,,,,,,,,,,,
Expired Documents with Intact Seals,,,,,,,,,,,,,,,,,,,,,,,,,,
Faceless Stalker Skin,,,,,,,,,,,,,,,,,,,,,,,,,,
Faceless Stalker Tongue,,,,,,,,,,,,,,,,,,,,,,,,,,
Faded Aeon Stone,,,,,,,,,,,,,,,,,,,,,,,,,,
Faerie Dragonhide,,,,,,,,,,,,,,,,,,,,,,,,,,
Fake Relics,,,,,,,,,,,,,,,,,,,,,,,,,,
Fear Enhancement Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
Fear Pheromones,,,,,,,,,,,,,,,,,,,,,,,,,,
Fey Flux,,,,,,,,,,,,,,,,,,,,,,,,,,
Flaming Rune Framework,,,,,,,,,,,,,,,,,,,,,,,,,,
Flytrap Teeth,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresh Basilisk Blood,1,,,1,,creature-component,,,Harvest Compendium,,,,,,,,,,,,,,,,,
Frost Rune Framework,,,,,,,,,,,,,,,,,,,,,,,,,,
Frost Essence,,,,1,,ingredient,,,Harvest Compendium pg. 122,,,,,,,,,,,,,,,,,
Gargoyle Teeth,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghaele Eye,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghast Teeth,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghost Bane Oil,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghoul Claws,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghoul Teeth,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant Clan Amulet,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant Flytrap Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant Wasp Stinger,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant's Name Rune,,,,,,,,,,,,,,,,,,,,,,,,,,
Glabrezu Pinchers,,,,,,,,,,,,,,,,,,,,,,,,,,
Gogiteth Front Leg,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Roc Feathers,,,,,,,,,,,,,,,,,,,,,,,,,,
Golem Engine Core,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorilla Fangs,,,,,,,,,,,,,,,,,,,,,,,,,,
Gravedigger's Outfit,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Barguest Eyes,,,,,,,,,,,,,,,,,,,,,,,,,,
Griffon Feathers,,,,,,,,,,,,,,,,,,,,,,,,,,
